Primer elemento -> 1, Segundo elemento -> 7
Primer elemento -> 2, Segundo elemento -> 7
Primer elemento -> 3, Segundo elemento -> 7
Primer elemento -> 5, Segundo elemento -> 10
Primer elemento -> 6, Segundo elemento -> 8
Primer elemento -> 10, Segundo elemento -> 10
Primer elemento -> 13, Segundo elemento -> 7
Primer elemento -> 15, Segundo elemento -> 8
Primer elemento -> 16, Segundo elemento -> 9
Primer elemento -> 17, Segundo elemento -> 8
Primer elemento -> 18, Segundo elemento -> 6
Primer elemento -> 19, Segundo elemento -> 8
Primer elemento -> 20, Segundo elemento -> 8
Primer elemento -> 23, Segundo elemento -> 8
Primer elemento -> 25, Segundo elemento -> 8
Primer elemento -> 26, Segundo elemento -> 7
Primer elemento -> 28, Segundo elemento -> 8
Primer elemento -> 30, Segundo elemento -> 7
Primer elemento -> 32, Segundo elemento -> 9
Primer elemento -> 33, Segundo elemento -> 9
Primer elemento -> 34, Segundo elemento -> 7
Primer elemento -> 35, Segundo elemento -> 8
Primer elemento -> 36, Segundo elemento -> 7
Primer elemento -> 37, Segundo elemento -> 6
Primer elemento -> 38, Segundo elemento -> 8
Primer elemento -> 39, Segundo elemento -> 7
Primer elemento -> 42, Segundo elemento -> 8
Primer elemento -> 45, Segundo elemento -> 8
Primer elemento -> 46, Segundo elemento -> 7
Primer elemento -> 47, Segundo elemento -> 8
Primer elemento -> 48, Segundo elemento -> 7
Primer elemento -> 49, Segundo elemento -> 9
Primer elemento -> 51, Segundo elemento -> 9
Primer elemento -> 53, Segundo elemento -> 8
Primer elemento -> 54, Segundo elemento -> 7
Primer elemento -> 55, Segundo elemento -> 8
Primer elemento -> 56, Segundo elemento -> 8
Primer elemento -> 58, Segundo elemento -> 7
Primer elemento -> 64, Segundo elemento -> 7
Primer elemento -> 65, Segundo elemento -> 6
Primer elemento -> 66, Segundo elemento -> 7
Primer elemento -> 68, Segundo elemento -> 7
Primer elemento -> 69, Segundo elemento -> 7
Primer elemento -> 71, Segundo elemento -> 8
Primer elemento -> 73, Segundo elemento -> 7
Primer elemento -> 77, Segundo elemento -> 7
Primer elemento -> 79, Segundo elemento -> 7
Primer elemento -> 80, Segundo elemento -> 6
Primer elemento -> 84, Segundo elemento -> 7
Primer elemento -> 85, Segundo elemento -> 8
Primer elemento -> 86, Segundo elemento -> 7
Primer elemento -> 87, Segundo elemento -> 8
Primer elemento -> 90, Segundo elemento -> 7
Primer elemento -> 93, Segundo elemento -> 8
Primer elemento -> 95, Segundo elemento -> 6
Primer elemento -> 100, Segundo elemento -> 8
Primer elemento -> 106, Segundo elemento -> 7
Primer elemento -> 108, Segundo elemento -> 7
Primer elemento -> 109, Segundo elemento -> 7
Krochanska is in: 18
